team_id	qns_id	article_title	path	qns_difficulty_by_questioner	qns_text	is_disfluent?	is_bad_qns?	answer	qns_difficulty_by_answerer
C3PO	1	Perl	set3/a8	hard	Do Perl programs start faster than programs in C?	False	False	It depends.	too hard
C3PO	1	Perl	set3/a8	hard	Do Perl programs start faster than programs in C?	False	False	No	hard
C3PO	2	Perl	set3/a8	hard	Is Perl easier to program in than C?	False	False	It depends.	hard
C3PO	2	Perl	set3/a8	hard	Is Perl easier to program in than C?	False	False	Yes	hard
C3PO	3	Perl	set3/a8	hard	Where can I look to learn more about Perl?	False	False	Further reading.	easy
C3PO	3	Perl	set3/a8	hard	Where can I look to learn more about Perl?	False	False	Programming Perl 4th Edition	too hard
C3PO	4	Perl	set3/a8	medium	What is the unofficial symbol of Perl?	False	False	 A picture of a dromedary camel.	medium
C3PO	4	Perl	set3/a8	medium	What is the unofficial symbol of Perl?	False	False	Camel	medium
C3PO	5	Perl	set3/a8	medium	From which languages does Perl borrow features from?	False	False	C, shell scripting (sh), AWK, and sed.	easy
C3PO	5	Perl	set3/a8	medium	From which languages does Perl borrow features from?	False	False	C, sh, AWK, sed	medium
C3PO	6	Perl	set3/a8	medium	What is Perl's nickname?	False	False	The Swiss Army chainsaw of scripting languages	easy
C3PO	6	Perl	set3/a8	medium	What is Perl's nickname?	False	False	the Swiss Army chainsaw of scripting languages	medium
C3PO	7	Perl	set3/a8	easy	Is Perl golf the pastime of reducing the number of characers used in a Perl program to the bare minimum?	False	False	Yes.	easy
C3PO	7	Perl	set3/a8	easy	Is Perl golf the pastime of reducing the number of characers used in a Perl program to the bare minimum?	False	False	Yes	easy
C3PO	8	Perl	set3/a8	easy	Is Perl used for finance?	False	False	Yes	easy
C3PO	8	Perl	set3/a8	easy	Is Perl used for finance?	False	False	Yes	easy
C3PO	9	Perl	set3/a8	easy	Was Perl 5.14.1 released on June 17, 2011?	False	False	Yes	easy
C3PO	9	Perl	set3/a8	easy	Was Perl 5.14.1 released on June 17, 2011?	False	False	Yes	easy
C3PO	10	Latin	set3/a6	hard	Is there anyone that can speak Latin fluently?	False	False	yes	hard
C3PO	10	Latin	set3/a6	hard	Is there anyone that can speak Latin fluently?	False	False	Yes	hard
C3PO	11	Latin	set3/a6	hard	Does Latin have only two moods?	False	False	no	easy
C3PO	11	Latin	set3/a6	hard	Does Latin have only two moods?	False	False	No	hard
C3PO	12	Latin	set3/a6	hard	Did the passage explain why Latin dialogue is occasionally used?	False	False	yes	hard
C3PO	12	Latin	set3/a6	hard	Did the passage explain why Latin dialogue is occasionally used?	False	False	Yes	hard
C3PO	13	Latin	set3/a6	medium	Have all international auxiliary languages been heavily influenced by Latin?	False	False	No	hard
C3PO	13	Latin	set3/a6	medium	Have all international auxiliary languages been heavily influenced by Latin?	False	False	No	hard
C3PO	14	Latin	set3/a6	medium	Is Latin still compulsory in Boston Latin School?	False	False	yes	hard
C3PO	14	Latin	set3/a6	medium	Is Latin still compulsory in Boston Latin School?	False	False	Yes	easy
C3PO	15	Latin	set3/a6	medium	Did Latin alphabet derive from the Old Italic alphabet?	False	False	yes	easy
C3PO	15	Latin	set3/a6	medium	Did Latin alphabet derive from the Old Italic alphabet?	False	False	Yes	medium
C3PO	16	Latin	set3/a6	easy	Is Latin still taught?	False	False	yes	easy
C3PO	16	Latin	set3/a6	easy	Is Latin still taught?	False	False	Yes	medium
C3PO	17	Latin	set3/a6	easy	Are there many websites and forums maintained in Latin by enthusiasts?	False	False	yes	easy
C3PO	17	Latin	set3/a6	easy	Are there many websites and forums maintained in Latin by enthusiasts?	False	False	Yes	easy
C3PO	18	Latin	set3/a6	easy	Are many of the most common polysyllabic English words of Latin origin?	False	False	yes	easy
C3PO	18	Latin	set3/a6	easy	Are many of the most common polysyllabic English words of Latin origin?	False	False	Yes	easy
C3PO	19	Landon_Donovan	set1/a2	hard	What are the roles that Landon usually plays?	False	False	withdrawn forward	medium
C3PO	19	Landon_Donovan	set1/a2	hard	What are the roles that Landon usually plays?	False	False	forward and midfielder	hard
C3PO	20	Landon_Donovan	set1/a2	hard	What are the languages that Donovan speaks?	False	False	Spanish, German, English	hard
C3PO	20	Landon_Donovan	set1/a2	hard	What are the languages that Donovan speaks?	False	False	Spanish and German	hard
C3PO	21	Landon_Donovan	set1/a2	hard	Is five World Cup goals the most for any man representing a team for CONCACAF?	False	False	yes	easy
C3PO	21	Landon_Donovan	set1/a2	hard	Is five World Cup goals the most for any man representing a team for CONCACAF?	False	False	Yes	easy
C3PO	22	Landon_Donovan	set1/a2	medium	Who is Tim Donovan?	False	False	He is an American association football player.	medium
C3PO	22	Landon_Donovan	set1/a2	medium	Who is Tim Donovan?	True	False		
C3PO	23	Landon_Donovan	set1/a2	medium	When did Donovan's mother allow him to join an organized league?	False	False	When he was six.	medium
